timestamp_unix,datetime_iso,dt,state,raw_adc,raw_throttle_input_pct,smoothed_throttle_pct,sim_current_throttle_pct,idle_target_vol,idle_current_vol,active_blip_count,idle_chan_busy,idle_is_fading,long_A_busy,long_A_sound,long_B_busy,long_B_sound,long_transitioning,sfx_chan_busy,sfx_chan_sound,sim_in_pot_gesture,sim_last_blip_time,sim_peak_thr_gesture,sim_played_accel_rec,sim_time_@100thr,sim_time_in_idle,sim_time_in_lc_range,sm_is_lc_active_overall,sm_lc_sounds_active,sm_waiting_for_lc_hold
1748480942.0744455,2025-05-28T20:09:02.076148,5.0067901611328125e-06,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.0912156,2025-05-28T20:09:02.092407,0.016770124435424805,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.1079824,2025-05-28T20:09:02.109165,0.016766786575317383,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.1247416,2025-05-28T20:09:02.125762,0.016759157180786133,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.141499,2025-05-28T20:09:02.142489,0.016757488250732422,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.1582608,2025-05-28T20:09:02.159325,0.01676177978515625,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.1750216,2025-05-28T20:09:02.176082,0.016760826110839844,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.1917892,2025-05-28T20:09:02.192985,0.016767501831054688,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.208543,2025-05-28T20:09:02.209403,0.0167539119720459,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.2252953,2025-05-28T20:09:02.226091,0.016752243041992188,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.2420506,2025-05-28T20:09:02.242874,0.016755342483520508,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.2588017,2025-05-28T20:09:02.259579,0.01675105094909668,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.2755535,2025-05-28T20:09:02.276342,0.016751766204833984,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.2923112,2025-05-28T20:09:02.293241,0.016757726669311523,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
1748480942.3090634,2025-05-28T20:09:02.309855,0.016752243041992188,ENGINE_OFF,0,0.0,0.0,0.0,0.7,0.7,0,False,False,False,None,False,None,False,False,None,False,0.0,0.0,False,0.0,0.0,0.0,False,False,False
